mes,Localidad,Descripcion de estos,Asesorías jurídicas en materia de regularización de tenencia de la tierra,Asesorias juridicas en materia civil-familiar,Juicios de obras públicas en curso,Canalizaciones en materia de Juicios de Pension Alimenticia,Correcciones de actas ante el registro del estado de Hidalgo.,"Convenios, contratos o acuerdos revisados y formalizados con la ciudadania",Apoyo en Audiencias de Juzgado Conciliador,Apoyo a Visitaduria Agraria,Catastro en Deslindes y/o Rectificacion de Medidas,Actas informativas realizadas para el Registro civil,Revicion de documentos para inscripcion al Padron,Revision de documentos para Traslados de Dominio,Revision de Documentos para Avaluos,Deslindes realizados por el àrea,,,,MES,Asesoria juridicas por area,Total de Asesorias,actividad,,Mes,Nombre del proveedor,Total de contratos,actividad,,Mes,Tema de la recomendación,Estatus,actividad
SEPTIEMBRE,EL SOTANO,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,EL ZACATAL,,7,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,HUATEPANGO,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,IGLESIA VIEJA,CONVENIO DE CONVIVENCIA DE MENORES,5,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA CEIBA,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA CEIBITA,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA ESCONDIDA,,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA ESTANCIA,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA GUAYABA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA HONDURA,CONVENIO DE CONVIVENCIA DE MENORES,5,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA JOYA DEL ZOPILOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA LOMA,,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA LOMITA,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA MESA,CONVENIO DE CONVIVENCIA DE MENORES,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA PIEDRA,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LA SIERRITA,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LAS ANTENAS,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LAS CAMPANAS,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LAS CIRUELAS,,3,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LAS GOLONDRINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LAS MINAS,,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,LOS NARANJOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,MIAHUATLA,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,NEBLINAS,CONVENIO DE CONVIVENCIA DE MENORES,3,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,NUEVO COYOLAR,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,OJO DE AGUA BO. ABAJO,,3,,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,OJO DE AGUA BO. ARRIBA,CONVENIO DE SERVICIOS,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PALO SEMITA,CONVENIO DE CONVIVENCIA DE MENORES,7,2,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PALO VERDE,CONVENIO DE CONVIVENCIA DE MENORES,3,2,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PALOMAS,CONVENIO DE CONVIVENCIA DE MENORES,4,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PARED GRUESA,,9,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PIEDRA ANCHA,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PLAN DE GUADALUPE,CONVENIOS DE PARTES,11,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PUERTO DEL AMOLAR,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PUERTO DEL CABALLO,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PUERTO DEL GALLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PUERTO DEL TAMBOR,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,PUERTO OBSCURO,CONVENIO DE CONVIVENCIA DE MENORES,7,3,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,RANCHO NUEVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,RANCHO NUEVO PUERTO DEL GALLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,REFORMA DE PALO SEMITA,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,SAN RAFAEL,CONVENIO DE CONVIVENCIA DE MENORES,7,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,SANTA ANA DE ALLENDE,CONVENIO DE CONVIVENCIA DE MENORES,11,3,,,,6,5,4,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,SANTA MARÍA DE ÁLAMOS,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,SAUCILLO AGUA NUEVA,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,SOLEDAD DEL COYOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,TENANGO,CONVENIO DE CONVIVENCIA DE MENORES,5,,1,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,TETLALPAN,CONVENIO DE PARTES,5,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,TOCAPA,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,ZACATE GRANDE,CONVENIO DE GANADERA,7,8,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,ZIMAPANITO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,ACUATLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,AHUAYO,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,ÁLAMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,AMIXCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,ARROYO BLANCO,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,ARROYO DE ACAXTLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,BUENA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,CABECERA MPAL,,60,13,3,1,1,,6,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,CAHUAZAS,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,CARRIZAL DE TENANGO,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,CARRIZAL DEL SOTANO,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL AMOLAR,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL BANCO,,12,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL BARRIO,,,,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL CAMPANARIO,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL CAPULÍN,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL COYOL,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL HUALUL,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL LIMONCITO,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL OCOTE,,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL PESCADO,,3,1,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL SABINO,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL SOTANO,,3,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,EL ZACATAL,,3,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,HUATEPANGO,,4,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,IGLESIA VIEJA,,12,3,,2,,,2,5,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA CEIBA,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA CEIBITA,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA ESCONDIDA,,6,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA ESTANCIA,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA GUAYABA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA HONDURA,,2,8,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA JOYA DEL ZOPILOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA LOMA,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA LOMITA,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA MESA,,6,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA PIEDRA,,6,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LA SIERRITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LAS ANTENAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LAS CAMPANAS,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LAS CIRUELAS,,2,1,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LAS GOLONDRINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LAS MINAS,,3,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,LOS NARANJOS,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,MIAHUATLA,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,NEBLINAS,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,NUEVO COYOLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,OJO DE AGUA BO. ABAJO,,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,OJO DE AGUA BO. ARRIBA,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PALO SEMITA,,7,3,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PALO VERDE,,30,5,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PALOMAS,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PARED GRUESA,,8,5,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PIEDRA ANCHA,,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PLAN DE GUADALUPE,,3,8,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PUERTO DEL AMOLAR,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PUERTO DEL CABALLO,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PUERTO DEL GALLO,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PUERTO DEL TAMBOR,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,PUERTO OBSCURO,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,RANCHO NUEVO,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,RANCHO NUEVO PUERTO DEL GALLO,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,REFORMA DE PALO SEMITA,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,SAN RAFAEL,,10,4,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,SANTA ANA DE ALLENDE,,18,6,,1,,,2,4,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,SANTA MARÍA DE ÁLAMOS,,12,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,SAUCILLO AGUA NUEVA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,SOLEDAD DEL COYOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,TENANGO,,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,TETLALPAN,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,TOCAPA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,ZACATE GRANDE,,15,8,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
OCTUBRE,ZIMAPANITO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,ACUATLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,AHUAYO,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,ÁLAMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,AMIXCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,ARROYO BLANCO,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,ARROYO DE ACAXTLA,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,BUENA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,CABECERA MPAL,contratos de compraventa,43,18,,1,5,3,5,,,1,,9,13,,,,,,,,,,,,,,,,,,
NOVIEMBRE,CAHUAZAS,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,CARRIZAL DE TENANGO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,CARRIZAL DEL SOTANO,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL AMOLAR,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL BANCO,,8,5,,1,1,,,,,,,6,1,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL BARRIO,,3,,,1,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL CAMPANARIO,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL CAPULÍN,,3,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL COYOL,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL HUALUL,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL LIMONCITO,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL OCOTE,,3,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL PESCADO,,3,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL SABINO,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL SOTANO,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,EL ZACATAL,,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,HUATEPANGO,,2,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,IGLESIA VIEJA,,10,3,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA CEIBA,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA CEIBITA,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA ESCONDIDA,,5,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA ESTANCIA,,4,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA GUAYABA,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA HONDURA,,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA JOYA DEL ZOPILOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA LOMA,,3,2,,,1,,,,,,1,,4,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA LOMITA,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA MESA,,2,1,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA PIEDRA,,2,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LA SIERRITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LAS ANTENAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LAS CAMPANAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LAS CIRUELAS,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LAS GOLONDRINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LAS MINAS,,1,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,LOS NARANJOS,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,MIAHUATLA,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,NEBLINAS,,6,8,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,NUEVO COYOLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,OJO DE AGUA BO. ABAJO,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,OJO DE AGUA BO. ARRIBA,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PALO SEMITA,,4,4,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PALO VERDE,contratos de compraventa,10,6,,1,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PALOMAS,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PARED GRUESA,,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PIEDRA ANCHA,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PLAN DE GUADALUPE,contratos de compraventa,8,9,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PUERTO DEL AMOLAR,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PUERTO DEL CABALLO,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PUERTO DEL GALLO,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PUERTO DEL TAMBOR,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,PUERTO OBSCURO,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,RANCHO NUEVO,,5,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,RANCHO NUEVO PUERTO DEL GALLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,REFORMA DE PALO SEMITA,,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,SAN RAFAEL,contratos de compraventa,8,4,,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,SANTA ANA DE ALLENDE,,20,7,,2,1,,3,8,,,1,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,SANTA MARÍA DE ÁLAMOS,contratos de compraventa,10,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,SAUCILLO AGUA NUEVA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,SOLEDAD DEL COYOL,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,TENANGO,,2,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
NOVIEMBRE,TETLALPAN,,8,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,TOCAPA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,ZACATE GRANDE,,18,6,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,
NOVIEMBRE,ZIMAPANITO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,ACUATLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,AHUAYO,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,ÁLAMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,AMIXCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,ARROYO BLANCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,ARROYO DE ACAXTLA,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,BUENA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,CABECERA MPAL,contratos de compraventa,24,30,,1,5,3,2,,,,,,5,,,,,,,,,,,,,,,,,,
DICIEMBRE,CAHUAZAS,,2,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
DICIEMBRE,CARRIZAL DE TENANGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,CARRIZAL DEL SOTANO,,,,,,,,,3,,,,2,1,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL AMOLAR,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL BANCO,,3,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL BARRIO,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL CAMPANARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL CAPULÍN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL COYOL,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL HUALUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL LIMONCITO,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL OCOTE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL PESCADO,,3,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL SABINO,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL SOTANO,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,EL ZACATAL,Contratos de donacion,4,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,HUATEPANGO,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,IGLESIA VIEJA,,2,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA CEIBA,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA CEIBITA,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA ESCONDIDA,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA ESTANCIA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA GUAYABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA HONDURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA JOYA DEL ZOPILOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA LOMA,,2,4,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA LOMITA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA MESA,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA PIEDRA,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LA SIERRITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LAS ANTENAS,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LAS CAMPANAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LAS CIRUELAS,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LAS GOLONDRINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LAS MINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,LOS NARANJOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,MIAHUATLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,NEBLINAS,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICIEMBRE,NUEVO COYOLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
